"Test","Firefox Failures","Chrome Failures","Safari Failures","Bugs"
"/css/css-transforms/transform-box/svgbox-border-box.html",1,0,0,1371943
"/css/css-transforms/transform-2d-getComputedStyle-001.html",5,0,0,1841292
"/css/css-transforms/transform-table-011.html",1,0,0,733849
"/css/css-transforms/transform-input-009.html",1,0,0,1838085
"/css/css-transforms/transform-box/svgbox-initial.html",1,0,0,1371943
"/css/css-transforms/transform-box/svgbox-stroke-box-001.html",1,0,0,1819464
"/css/css-transforms/transform-box/cssbox-content-box.html",1,0,0,1819464
"/css/css-transforms/transform-table-009.html",1,0,0,733849
"/css/css-transforms/transform-box/svgbox-content-box.html",1,0,0,1819464
"/css/css-transforms/animation/rotate-composition.html",11,0,2,1838106
"/css/css-transforms/parsing/transform-box-valid.html",2,0,0,1819464
"/css/css-transforms/transform-box/cssbox-initial.html",1,0,0,1371943
"/css/css-transforms/inheritance.html",1,0,0,1693820
"/css/css-transforms/animation/transform-interpolation-005.html",4,0,0,1734479
"/css/css-transforms/transform-box/cssbox-stroke-box.html",1,0,0,1371943
"/css/css-transforms/animation/transform-interpolation-rotate-slerp.html",1,0,0,1737209
"/css/css-transforms/transform3d-preserve3d-001.html",1,0,0,1840497
"/css/css-transforms/parsing/transform-box-computed.html",2,0,0,1819464
"/css/css-transforms/transform-table-010.html",1,0,0,733849
"/css/css-transforms/transform-box/cssbox-fill-box.html",1,0,0,1371943
