"Test","Firefox Failures","Chrome Failures","Safari Failures","Bugs"
"/css/css-contain/content-visibility/scrollIntoView-with-focus-target-with-contents-hidden.html",1,0,0,""
"/css/css-contain/contain-inline-size-replaced.html",1,1,1,""
"/css/css-contain/content-visibility/content-visibility-047.html",1,0,1,1646355
"/css/css-contain/content-visibility/content-visibility-077.html",1,0,1,""
"/css/css-contain/content-visibility/content-visibility-018.html",1,0,1,1646355
"/css/css-contain/content-visibility/content-visibility-022.html",1,0,1,1646355
"/css/css-contain/content-visibility/content-visibility-043.html",1,0,1,1646355
"/css/css-contain/content-visibility/content-visibility-009.html",1,0,1,1646355
"/css/css-sizing/contain-intrinsic-size/auto-011.html",2,1,2,""
"/css/css-contain/content-visibility/content-visibility-084.html",1,0,1,""
"/css/css-contain/content-visibility/content-visibility-auto-state-changed.html",5,0,5,""
"/css/css-contain/content-visibility/element-reassigned-to-slot-in-skipped-subtree.html",1,0,1,""
"/css/css-contain/content-visibility/element-reassigned-to-skipped-slot.html",1,0,1,""
"/css/css-contain/content-visibility/content-visibility-011.html",1,0,1,1646355
"/css/css-sizing/contain-intrinsic-size/auto-009.html",2,2,2,""
"/css/css-contain/parsing/contain-valid.html",1,0,0,1744309
"/css/css-contain/content-visibility/content-visibility-016.html",1,0,1,1646355
"/css/css-contain/content-visibility/dynamic-change-paint-fully-obscuring-child-001.html",1,0,1,""
"/css/css-sizing/contain-intrinsic-size/auto-010.html",2,0,2,""
"/css/css-contain/content-visibility/content-visibility-with-top-layer-hide-after-addition.html",1,0,1,""
"/css/css-contain/content-visibility/content-visibility-033.sub.https.html",1,0,1,1646355
"/css/css-contain/content-visibility/parsing/content-visibility-computed.html",3,0,3,1646355
"/css/css-contain/content-visibility/content-visibility-080.html",1,0,1,""
"/css/css-contain/content-visibility/content-visibility-072.html",4,0,4,1646355
"/css/css-contain/content-visibility/content-visibility-082.html",1,0,1,""
"/css/css-contain/content-visibility/content-visibility-041.html",1,0,1,1646355
"/css/css-contain/content-visibility/content-visibility-fieldset-size.html",1,0,1,""
"/css/css-contain/content-visibility/content-visibility-083.html",1,0,1,""
"/css/css-sizing/contain-intrinsic-size/auto-007.html",26,3,25,""
"/css/css-contain/content-visibility/content-visibility-078.html",1,0,1,""
"/css/css-contain/content-visibility/scrollIntoView-target-with-contents-hidden.html",1,0,0,""
"/css/css-contain/content-visibility/content-visibility-032.html",1,0,1,1646355
"/css/css-contain/content-visibility/content-visibility-008.html",1,0,1,1646355
"/css/css-contain/content-visibility/content-visibility-040.html",1,0,1,1646355
"/css/css-sizing/contain-intrinsic-size/contain-intrinsic-size-008.html",1,0,1,""
"/css/css-contain/content-visibility/content-visibility-canvas.html",1,1,1,""
"/css/css-contain/content-visibility/content-visibility-020.html",1,0,1,1646355
"/css/css-contain/content-visibility/content-visibility-video.html",1,1,1,""
"/css/css-contain/content-visibility/parsing/content-visibility-valid.html",3,0,3,1646355
"/css/css-contain/content-visibility/inheritance.html",2,0,2,1646355
"/css/css-contain/content-visibility/content-visibility-030.html",1,0,1,1646355
"/css/css-contain/content-visibility/content-visibility-005.html",1,0,1,1646355
"/css/css-contain/content-visibility/content-visibility-048.html",2,0,2,1646355
"/css/css-contain/content-visibility/content-visibility-003.html",1,0,1,1646355
"/css/css-contain/content-visibility/content-visibility-068.html",1,0,1,1646355
"/css/css-contain/contain-layout-005.html",1,0,0,1554327
"/css/css-contain/content-visibility/content-visibility-076.html",1,0,1,1668136
"/css/css-contain/content-visibility/content-visibility-037.html",1,0,1,1646355
"/css/css-contain/content-visibility/content-visibility-019.sub.https.html",1,0,1,1646355
"/css/css-contain/content-visibility/content-visibility-056.html",1,0,1,1646355
"/css/css-contain/content-visibility/content-visibility-with-top-layer-000.html",1,0,1,1794174
"/css/css-contain/content-visibility/content-visibility-070.html",1,0,1,1646355
"/css/css-contain/contain-size-grid-003.html",28,0,0,""
"/css/css-sizing/contain-intrinsic-size/contain-intrinsic-size-033.html",42,0,42,""
"/css/css-contain/content-visibility/content-visibility-034.html",1,0,1,1646355
"/css/css-contain/content-visibility/content-visibility-004.html",1,0,1,1646355
"/css/css-contain/content-visibility/content-visibility-with-top-layer-006.html",1,1,1,""
"/css/css-sizing/contain-intrinsic-size/auto-008.html",1,0,1,""
"/css/css-contain/content-visibility/content-visibility-007.html",1,0,1,1646355
"/css/css-contain/content-visibility/content-visibility-026.html",2,0,2,1646355
"/css/css-contain/content-visibility/content-visibility-021.html",1,0,1,1646355
"/css/css-contain/contain-size-grid-006.html",7,0,0,""
