"Test","Firefox Failures","Chrome Failures","Safari Failures","Bugs"
"/css/css-flexbox/aspect-ratio-intrinsic-size-005.html",1,0,1,1819703
"/css/css-flexbox/flexbox-align-self-vert-rtl-001.xhtml",1,0,1,1818933
"/css/css-flexbox/alignment/flex-align-baseline-grid-003.html",2,0,2,"1818933 1840778"
"/css/css-flexbox/baseline-synthesis-003.html",1,0,1,1835562
"/css/css-flexbox/aspect-ratio-intrinsic-size-003.html",1,0,0,1819703
"/css/css-flexbox/alignment/flex-align-baseline-grid-001.html",2,0,1,1840778
"/css/css-flexbox/flex-minimum-width-flex-items-013.html",1,0,1,1840779
"/css/css-flexbox/flexbox-align-self-baseline-horiz-006.xhtml",1,0,1,1818933
"/css/css-flexbox/flex-aspect-ratio-img-column-011.html",1,0,1,1785914
"/css/css-flexbox/aspect-ratio-intrinsic-size-006.html",1,0,0,1819703
"/css/css-flexbox/flexbox-align-self-vert-rtl-002.xhtml",1,0,1,1818933
"/css/css-flexbox/table-as-item-min-height-1.html",1,0,1,1840957
"/css/css-flexbox/alignment/flex-align-baseline-007.html",1,0,0,1818933
"/css/css-flexbox/alignment/flex-align-baseline-multicol-003.html",2,0,2,1840944
"/css/css-flexbox/intrinsic-width-orthogonal-writing-mode.html",2,0,0,1310551
"/css/css-flexbox/flexbox-align-self-vert-rtl-005.xhtml",1,0,1,1818933
"/css/css-flexbox/alignment/flex-align-baseline-table-002.html",2,0,0,144517
"/css/css-flexbox/aspect-ratio-intrinsic-size-001.html",1,0,0,1819703
"/css/css-flexbox/aspect-ratio-intrinsic-size-004.html",1,0,0,1819703
"/css/css-flexbox/table-as-item-stretch-cross-size-5.html",1,0,0,1703401
"/css/css-flexbox/alignment/flex-align-baseline-006.html",1,0,0,1818933
"/css/css-flexbox/align-baseline.html",1,0,1,1818933
"/css/css-flexbox/flexbox-min-width-auto-006.html",1,0,1,1840779
"/css/css-flexbox/flexbox-min-width-auto-005.html",1,0,1,1840779
"/css/css-flexbox/flexbox-align-self-vert-rtl-003.xhtml",1,0,1,1818933
"/css/css-flexbox/alignment/flex-align-baseline-multicol-001.html",2,0,2,1840944
"/css/css-flexbox/flexbox-align-self-vert-rtl-004.xhtml",1,0,1,1818933
"/css/css-flexbox/flex-aspect-ratio-img-column-008.html",1,0,0,1840782
"/css/css-flexbox/alignment/flex-align-baseline-grid-002.html",2,0,2,1840778
"/css/css-flexbox/alignment/flex-align-baseline-005.html",1,0,0,1818933
"/css/css-flexbox/percentage-heights-013.html",1,0,0,1840788
"/css/css-flexbox/aspect-ratio-intrinsic-size-002.html",1,0,0,1819703
"/css/css-flexbox/alignment/flex-align-baseline-multicol-002.html",5,0,4,1840944
"/css/css-flexbox/flex-minimum-height-flex-items-023.html",1,0,1,1785914
