"Test","Firefox failures","Chrome","Safari"
"/css/css-values/exp-log-serialize.html","18 Failures","0 Passes","12 Passes"
"/css/css-values/hypot-pow-sqrt-serialize.html","21 Failures","0 Passes","15 Passes"
"/css/css-values/acos-asin-atan-atan2-serialize.html","22 Failures","22 Passes","11 Passes"
"/css/css-values/round-mod-rem-serialize.html","12 Failures","0 Passes","6 Passes"
"/css/css-values/round-mod-rem-computed.html","1 Failures","0 Passes","1 Passes"
"/css/css-values/sin-cos-tan-serialize.html","16 Failures","16 Passes","12 Passes"
"/css/css-values/signs-abs-computed.html","142 Failures","0 Passes","142 Passes"
"/css/css-values/signs-abs-serialize.html","52 Failures","0 Passes","27 Passes"
"/css/css-values/acos-asin-atan-atan2-computed.html","1 Failures","1 Passes","1 Passes"
"/css/css-values/exp-log-compute.html","17 Failures","0 Passes","17 Passes"
"/css/css-values/hypot-pow-sqrt-computed.html","38 Failures","0 Passes","38 Passes"
