"Test","Firefox Failures","Chrome Failures","Safari Failures","Bugs"
"/workers/modules/shared-worker-import-csp.html",4,0,3,""
"/workers/modules/dedicated-worker-import-data-url-cross-origin.html",1,0,1,""
"/workers/modules/dedicated-worker-import-failure.html",1,0,0,""
"/workers/modules/shared-worker-import-data-url-cross-origin.html",1,0,1,""
"/workers/modules/shared-worker-options-credentials.html",2,0,0,""
"/workers/modules/dedicated-worker-import-csp.html",4,0,3,""
"/workers/modules/dedicated-worker-import-meta.html",1,1,1,""
"/workers/modules/shared-worker-import-referrer.html",4,0,0,""
"/workers/modules/dedicated-worker-import-referrer.html",4,0,0,""
"/workers/modules/dedicated-worker-options-credentials.html",2,0,0,""
"/workers/modules/shared-worker-parse-error-failure.html",2,0,2,""
"/workers/modules/shared-worker-import-failure.html",1,0,0,""
"/workers/modules/dedicated-worker-parse-error-failure.html",2,0,2,""
