"Test","Firefox","Chrome","Safari"
"/css/css-properties-values-api/at-property-viewport-units.html","0/24","24/24","24/24"
"/css/css-properties-values-api/registered-property-crosstalk.html","0/1","1/1","1/1"
"/css/css-properties-values-api/at-property-stylesheets.html","0/5","5/5","5/5"
"/css/css-properties-values-api/registered-property-computation.html","0/62","57/62","62/62"
"/css/css-properties-values-api/at-property-shadow.html","0/1","0/1","1/1"
"/css/css-properties-values-api/register-property.html","0/5","5/5","5/5"
"/css/css-properties-values-api/at-property-cssom.html","0/62","55/62","62/62"
"/css/css-properties-values-api/at-property-animation.html","0/18","15/18","18/18"
"/css/css-properties-values-api/property-cascade.html","0/2","2/2","2/2"
"/css/css-properties-values-api/at-property.html","0/50","46/50","50/50"
"/css/css-properties-values-api/registered-property-revert.html","0/1","4/4","4/4"
"/css/css-properties-values-api/at-property-viewport-units-dynamic.html","0/1","1/1","0/1"
"/css/css-properties-values-api/registered-property-initial.html","0/29","24/29","29/29"
"/css/css-properties-values-api/registered-property-change-style-001.html","0/2","2/2","2/2"
"/css/css-properties-values-api/register-property-syntax-parsing.html","0/205","186/205","205/205"
"/css/css-properties-values-api/registered-property-cssom.html","0/5","5/5","5/5"
