"Test","Firefox Failures","Chrome Failures","Safari Failures","Bugs"
"/css/selectors/nth-last-child-of-compound-selector.html",1,0,0,1795517
"/css/selectors/nth-last-child-of-style-sharing-2.html",1,0,0,1795517
"/css/selectors/nth-last-child-specificity-1.html",1,0,0,1795517
"/css/selectors/nth-child-specificity-2.html",1,0,0,1795517
"/css/selectors/nth-last-child-specificity-4.html",1,0,0,1795517
"/css/selectors/nth-child-of-classname.html",1,0,0,1795517
"/css/selectors/invalidation/nth-child-of-class.html",1,0,0,""
"/css/selectors/nth-child-of-compound-selector.html",1,0,0,1795517
"/css/selectors/nth-child-of-attribute.html",1,0,0,""
"/css/selectors/nth-last-child-specificity-3.html",1,0,0,1795517
"/css/selectors/invalidation/nth-child-of-sibling.html",1,0,0,""
"/css/selectors/nth-last-child-of-tagname.html",1,0,0,1795517
"/css/selectors/invalidation/nth-child-of-has.html",1,0,1,""
"/css/selectors/nth-child-of-complex-selector-many-children.html",1,0,0,""
"/css/selectors/nth-child-of-classname-002.html",1,0,0,""
"/css/selectors/nth-last-child-of-classname.html",1,0,0,1795517
"/css/selectors/nth-child-of-nesting.html",1,0,0,""
"/css/selectors/nth-last-child-of-nesting.html",1,0,0,""
"/css/selectors/nth-last-child-of-no-space-after-of.html",1,0,0,""
"/css/selectors/nth-child-and-nth-last-child.html",1,0,0,1795517
"/css/selectors/nth-child-specificity-3.html",1,0,0,1795517
"/css/selectors/nth-last-child-specificity-2.html",1,0,0,1795517
"/css/selectors/invalidation/nth-child-when-sibling-changes.html",1,0,0,""
"/css/selectors/dir-pseudo-in-has.html",1,0,0,""
"/css/selectors/invalidation/nth-child-of-in-ancestor.html",1,0,1,""
"/css/selectors/nth-child-of-no-space-after-of.html",1,0,0,""
"/css/selectors/nth-child-specificity-1.html",1,0,0,1795517
"/css/selectors/nth-child-specificity-4.html",1,0,0,1795517
"/css/selectors/nth-child-of-nth-child.html",1,0,0,""
"/css/selectors/invalidation/nth-child-when-ancestor-changes.html",1,0,0,""
"/css/selectors/invalidation/nth-child-containing-ancestor.html",1,0,0,""
"/css/selectors/nth-child-of-tagname.html",1,0,0,1795517
"/css/selectors/nth-child-of-universal-selector.html",1,0,0,""
"/css/selectors/nth-last-child-of-style-sharing-1.html",1,0,0,1795517
"/css/selectors/invalidation/nth-child-of-attr.html",1,0,0,""
"/css/selectors/nth-child-of-complex-selector.html",1,0,0,1795517
"/css/selectors/nth-child-of-not.html",1,0,0,""
"/css/selectors/nth-last-child-of-complex-selector.html",1,0,0,1795517
"/css/selectors/nth-child-of-has.html",1,0,0,""
"/css/selectors/invalidation/nth-child-in-shadow-root.html",1,0,1,""
