"Test","Firefox Failures","Chrome Failures","Safari Failures","Bugs"
"/url/historical.any.worker.html",1,0,0,1636761
"/url/url-origin.any.worker.html",8,5,0,""
"/url/a-element-origin-xhtml.xhtml",8,5,0,"1553105 1723456 1815914 1815925 1815926"
"/url/url-setters-stripping.any.html",108,90,0,""
"/url/a-element-origin.html",8,5,0,""
"/url/url-constructor.any.html?exclude=(file|javascript|mailto)",171,131,0,""
"/url/failure.html",522,224,0,1722328
"/url/a-element.html?exclude=(file|javascript|mailto)",171,131,0,""
"/url/url-setters-a-area.window.html?exclude=(file|javascript|mailto)",142,122,14,""
"/url/url-setters.any.worker.html?exclude=(file|javascript|mailto)",69,61,7,""
"/url/historical.any.html",1,0,0,1636761
"/url/url-setters.any.html?exclude=(file|javascript|mailto)",69,61,7,""
"/url/a-element-xhtml.xhtml?exclude=(file|javascript|mailto)",171,131,0,""
"/url/url-setters-stripping.any.worker.html",108,90,0,""
"/url/url-constructor.any.worker.html?exclude=(file|javascript|mailto)",171,131,0,""
"/url/url-origin.any.html",8,5,0,"1553105 1723456 1815914 1815925 1815926"
