"Test","Firefox failures","Chrome","Safari"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=normal&display=list-item&method=shift-enter","8 Failures","8 Passes","8 Passes"
"/css/css-images/image-set/image-set-computed.sub.html","2 Failures","0 Passes","0 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=pre&display=list-item&method=shift-enter","18 Failures","18 Passes","18 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=pre&display=table-cell&method=enter","18 Failures","18 Passes","18 Passes"
"/css/css-images/image-set/image-set-parsing.html","16 Failures","2 Passes","14 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=normal&display=inline-block&method=enter","10 Failures","10 Passes","10 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=normal&display=table-cell&method=shift-enter","8 Failures","8 Passes","8 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=pre&display=block&method=shift-enter","18 Failures","18 Passes","18 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=pre-line&display=list-item&method=shift-enter","18 Failures","6 Passes","6 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=pre&display=table-cell&method=shift-enter","18 Failures","18 Passes","18 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=pre-line&display=block&method=enter","18 Failures","0 Passes","0 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=pre-wrap&display=list-item&method=enter","18 Failures","0 Passes","0 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=pre&display=list-item&method=enter","18 Failures","0 Passes","0 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=pre-line&display=table-cell&method=enter","18 Failures","6 Passes","6 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=pre-wrap&display=block&method=enter","18 Failures","0 Passes","0 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=pre-line&display=table-cell&method=shift-enter","18 Failures","6 Passes","6 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=normal&display=block&method=shift-enter","8 Failures","8 Passes","8 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=pre-line&display=list-item&method=enter","18 Failures","0 Passes","0 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=normal&display=list-item&method=enter","10 Failures","0 Passes","0 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=pre-wrap&display=table-cell&method=shift-enter","18 Failures","18 Passes","18 Passes"
"/css/css-sizing/fit-content-block-size-fixedpos.html","1 Failures","1 Passes","1 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=normal&display=inline-block&method=shift-enter","8 Failures","8 Passes","8 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=pre-line&display=block&method=shift-enter","18 Failures","6 Passes","6 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=normal&display=table-cell&method=enter","10 Failures","10 Passes","10 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=normal&display=inline&method=shift-enter","8 Failures","8 Passes","8 Passes"
"/css/css-sizing/fit-content-block-size-abspos.html","1 Failures","1 Passes","1 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=pre&display=block&method=enter","18 Failures","0 Passes","0 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=normal&display=block&method=enter","10 Failures","0 Passes","0 Passes"
"/fetch/nosniff/parsing-nosniff.window.html","1 Failures","0 Passes","1 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=pre-wrap&display=list-item&method=shift-enter","18 Failures","18 Passes","18 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=pre-wrap&display=table-cell&method=enter","18 Failures","18 Passes","18 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=normal&display=inline&method=enter","10 Failures","10 Passes","10 Passes"
"/editing/other/insertparagraph-in-inline-editing-host.tentative.html?white-space=pre-wrap&display=block&method=shift-enter","18 Failures","18 Passes","18 Passes"
