"Test","Firefox Failures","Chrome Failures","Safari Failures"
"/custom-elements/throw-on-dynamic-markup-insertion-counter-construct-xml-parser.xhtml",1,1,0
"/custom-elements/reactions/AriaMixin-string-attributes.html",76,0,0
"/custom-elements/throw-on-dynamic-markup-insertion-counter-reactions-xml-parser.xhtml",1,1,0
"/custom-elements/reactions/Document.html",1,0,0
"/shadow-dom/capturing-and-bubbling-event-listeners-across-shadow-trees.html",5,0,0
"/custom-elements/adopted-callback.html",13,0,0
"/custom-elements/perform-microtask-checkpoint-before-construction-xml-parser.xhtml",1,1,0
"/shadow-dom/focus-navigation/focus-with-negative-index.html",1,0,0
"/custom-elements/Document-createElement.html",3,0,0
"/custom-elements/CustomElementRegistry.html",1,0,0
