"date","firefox","chrome","safari"
"2024-01-02",71.51,80.57,79.04
"2024-01-03",71.51,80.57,79.04
"2024-01-04",71.51,80.57,79.04
"2024-01-05",71.51,80.78,79.04
"2024-01-06",71.51,80.78,79.04
"2024-01-08",71.51,80.78,79.04
"2024-01-09",71.51,80.78,79.04
"2024-01-10",71.54,80.75,79.05
"2024-01-11",71.52,80.75,78.84
"2024-01-12",71.48,80.86,78.95
"2024-01-13",71.46,80.86,78.95
"2024-01-14",71.46,80.86,78.95
"2024-01-15",71.46,80.84,78.95
"2024-01-16",71.46,80.86,78.95
"2024-01-17",71.55,80.86,78.95
"2024-01-18",71.54,80.93,78.95
"2024-01-19",71.45,80.84,78.86
"2024-01-20",71.45,80.84,78.85
"2024-01-21",71.45,80.84,78.85
"2024-01-22",71.45,80.84,78.85
"2024-01-23",71.45,80.84,78.85
"2024-01-24",75.66,80.82,78.85
"2024-01-25",76.11,81.46,79.27
"2024-01-26",76.96,82.19,79.05
"2024-01-27",78.76,82.18,79.13
"2024-01-28",79.71,82.19,79.13
"2024-01-30",79.80,82.16,79.13
"2024-01-31",80.22,82.71,79.33
"2024-02-01",80.51,82.85,79.61
"2024-02-02",80.49,82.84,79.59
"2024-02-03",79.94,82.86,79.59
"2024-02-05",79.94,82.86,79.59
"2024-02-06",79.95,82.89,79.59
"2024-02-07",79.95,82.88,79.59
"2024-02-08",79.95,82.87,79.98
"2024-02-09",79.95,82.86,79.98
"2024-02-10",79.78,82.68,79.83
"2024-02-12",79.78,82.89,79.83
"2024-02-13",78.60,82.89,78.65
"2024-02-14",78.60,82.88,78.66
"2024-02-15",78.62,82.79,78.57
"2024-02-16",78.81,82.58,78.75
"2024-02-17",78.81,82.58,78.75
"2024-02-18",78.81,82.88,78.74
"2024-02-19",78.81,82.84,78.74
"2024-02-20",78.84,82.90,78.78
"2024-02-21",78.89,82.92,78.81
"2024-02-22",78.92,82.90,83.95
"2024-02-23",78.90,82.86,83.82
"2024-02-24",79.69,82.91,83.95
"2024-02-25",79.69,82.91,83.95
"2024-02-26",79.68,82.91,83.95
"2024-02-27",79.69,82.91,83.81
"2024-02-28",79.69,82.89,83.95
"2024-02-29",80.11,82.92,83.95
"2024-03-01",80.11,82.92,83.95
"2024-03-02",80.38,83.18,84.22
"2024-03-03",80.38,83.19,84.22
"2024-03-04",80.38,83.19,84.22
"2024-03-05",80.41,83.24,84.22
"2024-03-06",80.14,82.82,83.85
"2024-03-07",80.24,82.85,84.14
"2024-03-08",80.24,82.85,84.14
"2024-03-09",80.24,82.85,84.14
"2024-03-12",80.47,82.69,84.14
