"Test","Firefox Failures","Chrome Failures","Safari Failures","Bugs"
"/css/css-grid/layout-algorithm/grid-minimum-contribution-baseline-shim-vertical-rl.html",2,0,2,1841697
"/css/css-grid/alignment/grid-align-baseline-multicol-003.html",2,0,2,1840944
"/css/css-grid/alignment/grid-column-axis-self-baseline-synthesized-003.html",2,0,0,"1609403 1878123"
"/css/css-grid/alignment/grid-row-axis-self-baseline-synthesized-001.html",2,0,0,"1609403 1712519 1878123"
"/css/css-grid/layout-algorithm/grid-flex-track-intrinsic-sizes-003.html",2,0,0,1841696
"/css/css-grid/alignment/self-baseline/grid-self-baseline-horiz-007.html",1,0,1,1634325
"/css/css-grid/alignment/grid-baseline-001.html",1,0,0,"1609403 1878127"
"/css/css-grid/grid-layout-properties.html",3,0,0,"1639412 1841663 1976357"
"/css/css-grid/alignment/self-baseline/grid-self-baseline-vertical-rl-007.html",1,0,1,"1848253 1902793"
"/css/css-grid/alignment/self-baseline/grid-self-baseline-vertical-lr-007.html",1,0,1,1634325
"/css/css-grid/alignment/grid-baseline-align-cycles-001.html",1,0,1,1712862
"/css/css-grid/alignment/grid-self-baseline-not-applied-if-sizing-cyclic-dependency-001.html",5,0,0,1712251
"/css/css-grid/subgrid/subgrid-baseline-008.html",11,0,0,1841303
"/css/css-grid/subgrid/subgrid-baseline-009.html",12,0,9,1841304
"/css/css-grid/grid-definition/grid-auto-repeat-dynamic-003.html",1,0,0,1841677
"/css/css-grid/layout-algorithm/flex-tracks-with-fractional-size.html",1,0,0,1737353
"/css/css-grid/parsing/grid-template-columns-computed.html",1,0,0,1934563
"/css/css-flexbox/alignment/flex-align-baseline-multicol-002.html",4,0,3,1840944
"/css/css-flexbox/parsing/flex-valid.html",1,0,0,1955096
"/css/css-grid/parsing/grid-area-computed.html",1,0,0,"1841330 1955093"
"/css/css-grid/layout-algorithm/grid-minimum-contribution-baseline-shim.html",2,0,0,1841697
"/css/css-flexbox/parsing/flex-computed.html",1,0,0,1955096
"/css/css-grid/subgrid/abs-pos-002.html",1,0,0,1833481
"/css/css-grid/subgrid/subgrid-baseline-006.html",6,0,0,1841300
"/css/css-grid/alignment/grid-item-aspect-ratio-stretch-4.html",1,0,0,1719002
"/css/css-grid/alignment/grid-self-baseline-not-applied-if-sizing-cyclic-dependency-002.html",12,0,12,1712251
"/css/css-grid/subgrid/subgrid-no-items-on-edges-002.html",1,0,0,1841298
"/css/css-grid/alignment/grid-baseline-004.html",1,0,1,"1650885 1650906"
"/css/css-grid/subgrid/subgrid-baseline-007.html",12,0,0,1841301
"/css/css-flexbox/alignment/flex-align-baseline-multicol-001.html",2,0,2,1840944
"/css/css-flexbox/flex-aspect-ratio-img-column-008.html",1,0,0,1840782
"/css/css-grid/layout-algorithm/grid-minimum-contribution-baseline-shim-vertical-lr.html",2,0,0,1841697
"/css/css-grid/alignment/grid-align-baseline-multicol-002.html",4,0,3,1840944
"/css/css-grid/alignment/grid-column-axis-self-baseline-synthesized-001.html",3,0,0,"1609403 1878123 1976357"
"/css/css-flexbox/alignment/flex-align-baseline-multicol-003.html",2,0,2,1840944
"/css/css-grid/abspos/grid-positioned-items-implicit-grid-line-001.html",2,0,0,"1500622 1976357"
"/css/css-grid/layout-algorithm/grid-flex-track-intrinsic-sizes-002.html",1,0,0,1841696
"/css/css-grid/grid-items/aspect-ratio-004.html",1,0,0,1740236
"/css/css-grid/alignment/grid-row-axis-self-baseline-synthesized-003.html",2,0,0,"1609403 1712519 1878123"
"/css/css-grid/grid-model/grid-container-ignores-first-line-001.html",4,0,0,1841317
"/css/css-grid/subgrid/orthogonal-writing-mode-005.html",1,0,0,1866930
"/css/css-grid/subgrid/subgrid-baseline-005.html",6,0,0,1841299
"/css/css-flexbox/table-as-item-min-height-1.html",1,0,0,1840957
"/css/css-grid/alignment/grid-self-baseline-not-applied-if-sizing-cyclic-dependency-003.html",2,0,2,1712251
"/css/css-grid/grid-items/grid-item-inline-contribution-003.html",1,0,0,1718365
"/css/css-flexbox/table-as-item-stretch-cross-size-5.html",1,0,0,1703401
"/css/css-grid/alignment/grid-align-baseline-multicol-001.html",2,0,2,1840944
"/css/css-grid/grid-definition/grid-auto-repeat-max-size-001.tentative.html",2,0,0,1878130
