"Test","Firefox Failures","Chrome Failures","Safari Failures","Bugs"
"/css/css-anchor-position/anchor-position-dynamic-003.html",10,0,0,1813190
"/css/css-anchor-position/anchor-position-inline-003.html",3,0,3,1816183
"/css/css-anchor-position/anchor-scroll-update-002.html",1,0,0,1834726
"/css/css-anchor-position/anchor-position-inline-004.html",24,0,24,1816183
"/css/css-anchor-position/anchor-name-multicol-004.html",2,0,2,1816183
"/css/css-anchor-position/anchor-position-multicol-nested-001.html",3,0,3,"1791683 1816183"
"/css/css-anchor-position/anchor-position-003.html",5,0,0,1816183
"/css/css-anchor-position/position-try-pseudo-element.html",2,0,2,1863824
"/css/css-anchor-position/anchor-scroll-003.html",1,0,1,1842703
"/css/css-anchor-position/anchor-name-002.html",4,0,0,"1816183 1833593"
"/css/css-anchor-position/base-style-invalidation.html",1,0,0,""
"/css/css-anchor-position/anchor-scroll-chained-004.html",1,0,1,1890460
"/css/css-anchor-position/anchor-scroll-update-007.html",1,0,1,1842703
"/css/css-anchor-position/position-anchor-004.html",1,0,0,1923151
"/css/css-anchor-position/anchor-position-borders-002.html",5,0,4,""
"/css/css-anchor-position/position-anchor-basics.html",48,0,0,1897106
"/css/css-anchor-position/anchor-query-fallback.html",14,0,0,1813190
"/css/css-anchor-position/anchor-fallback-invalidation.html",1,0,0,""
"/css/css-anchor-position/anchor-getComputedStyle-001.html",3,0,0,""
"/css/css-anchor-position/anchor-position-multicol-005.html",1,0,0,1816183
"/css/css-anchor-position/anchor-scroll-fixedpos.html",1,0,1,1834726
"/css/css-anchor-position/position-anchor-002.html",1,0,1,""
"/css/css-anchor-position/parsing/position-try-order-computed.html",7,0,0,""
"/css/css-anchor-position/position-visibility-anchors-visible-change-css-visibility.html",1,0,0,1890874
"/css/css-anchor-position/anchor-size-writing-modes-001.html",24,0,0,1816183
"/css/css-anchor-position/position-area-computed.html",10,0,0,""
"/css/css-anchor-position/anchor-scroll-position-try-010.html",4,0,3,"1823204 1842703"
"/css/css-anchor-position/parsing/position-try-order-parsing.html",9,0,0,""
"/css/css-anchor-position/anchor-position-multicol-colspan-002.html",2,0,2,1793262
"/css/css-anchor-position/anchor-scroll-chained-001.html",1,0,1,1890460
"/css/css-anchor-position/anchor-name-multicol-003.html",4,1,4,1816183
"/css/css-anchor-position/position-area-with-insets.html",3,0,0,""
"/css/css-anchor-position/anchor-position-dynamic-005.html",1,0,0,""
"/css/css-anchor-position/try-tactic-margin.html",8,0,0,""
"/css/css-anchor-position/try-tactic-basic.html",16,0,0,""
"/css/css-anchor-position/anchor-size-replaced-001.html",8,0,0,1816183
"/css/css-anchor-position/parsing/anchor-scope-parsing.html",11,0,0,""
"/css/css-anchor-position/anchor-name-005.html",1,0,0,1929380
"/css/css-anchor-position/anchor-scroll-position-try-012.html",1,0,1,1906329
"/css/css-anchor-position/at-position-try-cssom.html",264,0,2,"1884939 1906329 1911925"
"/css/css-anchor-position/anchor-scroll-composited-scrolling-006.html",1,0,1,1842703
