"Test","Firefox Failures","Chrome Failures","Safari Failures","Bugs"
"/css/filter-effects/backdrop-filter-edge-behavior.html",1,0,1,1738499
"/css/filter-effects/backdrop-filter-reference-filter.html",1,0,1,1887451
"/css/filter-effects/backdrop-filter-edge-clipping-2.html",1,0,1,""
"/css/filter-effects/backdrop-filter-svg-foreignObject.html",1,0,1,""
"/css/filter-effects/backdrop-filter-edge-mirror.html",1,0,1,""
"/css/filter-effects/backdrop-filter-backdrop-root-opacity.html",1,0,1,""
"/css/filter-effects/backdrop-filter-backdrop-root-clip-path.html",1,0,0,""
"/css/filter-effects/backdrop-filter-backdrop-root-mix-blend-mode.html",1,0,0,""
"/css/filter-effects/backdrop-filter-edge-pixels-2.html",1,0,1,""
"/css/filter-effects/backdrop-filter-backdrop-root-filter.html",1,0,1,""
"/css/filter-effects/backdrop-filter-backdrop-root-backdrop-filter.html",1,0,0,""
"/css/filter-effects/backdrop-filter-edge-clipping.html",1,0,0,1887452
"/css/filter-effects/backdrop-filter-boundary.html",1,0,1,""
