"Test","Firefox Failures","Chrome Failures","Safari Failures","Bugs"
"/largest-contentful-paint/observe-svg-image.html",1,1,1,""
"/event-timing/pointerout.html",1,1,1,""
"/event-timing/only-observe-firstInput.html",1,1,1,""
"/event-timing/pointerdown.html",1,1,1,""
"/event-timing/interactionid-press-key-as-input.html",1,1,1,""
"/event-timing/timingconditions.html",1,1,1,""
"/event-timing/mouseleave.html",1,1,1,""
"/event-timing/first-input-interactionid-click.html",1,1,1,""
"/event-timing/retrieve-firstInput.html",1,1,1,""
"/largest-contentful-paint/repeated-image.html",1,1,1,""
"/largest-contentful-paint/loadTime-after-appendChild.html",1,1,1,""
"/event-timing/interaction-count-tap.html",1,1,1,""
"/event-timing/idlharness.any.worker.html",14,0,0,""
"/event-timing/keydown.html",1,1,1,""
"/event-timing/auxclick.html",1,1,1,""
"/largest-contentful-paint/same-origin-redirects.html",1,1,1,""
"/event-timing/interactionid-click.html",1,1,1,""
"/largest-contentful-paint/image-full-viewport.html",1,1,1,""
"/largest-contentful-paint/update-on-style-change.html",1,1,1,""
"/largest-contentful-paint/initially-invisible-images.html",1,1,1,""
"/largest-contentful-paint/text-with-display-style.html",1,1,1,""
"/event-timing/interactionid-tap.html",1,1,1,""
"/largest-contentful-paint/observe-css-generated-text.html",3,3,3,""
"/event-timing/toJSON.html",1,1,1,""
"/largest-contentful-paint/invisible-images-composited-2.html",1,1,1,""
"/event-timing/first-input-shadow-dom.html",1,1,1,""
"/event-timing/interactionid-aux-pointerdown-and-pointerdown.html",1,1,1,""
"/event-timing/idlharness.any.sharedworker.html",14,0,0,""
"/largest-contentful-paint/element-only-when-fully-active.html",2,2,2,""
"/event-timing/mouseout.html",1,1,1,""
"/largest-contentful-paint/multiple-redirects-TAO.html",1,1,1,""
"/event-timing/mouseenter.html",1,1,1,""
"/largest-contentful-paint/idlharness.html",29,24,24,""
"/event-timing/interactionid-keyboard-event-simulated-click-checkbox-space.html",1,1,1,""
"/event-timing/interactionid-keypress.html",1,1,1,""
"/event-timing/keyup.html",1,1,1,""
"/event-timing/event-click-visibilitychange.html",1,1,1,""
"/largest-contentful-paint/first-paint-equals-lcp-text.html",1,1,1,""
"/event-timing/dblclick.html",1,1,1,""
"/largest-contentful-paint/image-not-fully-visible.html",1,1,1,""
"/event-timing/interactionid-keyboard-event-simulated-click-link-enter.html",1,1,1,""
"/largest-contentful-paint/invisible-images-composited-1.html",1,1,1,""
"/event-timing/pointerup.html",1,1,1,""
"/event-timing/interactionid-press-key-no-effect.html",1,1,1,""
"/largest-contentful-paint/observe-after-untrusted-scroll.html",1,1,1,""
