"Test","Firefox Failures","Chrome Failures","Safari Failures","Bugs"
"/html/rendering/the-details-element/details-pseudo-elements-004.html",1,0,1,1901037
"/html/rendering/the-details-element/details-pseudo-elements-003.html",1,0,0,1901037
"/html/editing/the-hidden-attribute/beforematch-attribute-removal-002.html",1,1,1,""
"/html/rendering/the-details-element/details-pseudo-elements-005.html",1,0,1,1901037
"/html/editing/the-hidden-attribute/beforematch-attribute-removal-001.html",1,1,1,""
"/html/editing/the-hidden-attribute/beforematch-element-removal-002.html",1,1,1,""
"/html/editing/the-hidden-attribute/beforematch-element-removal-001.html",1,1,1,""
"/html/rendering/the-details-element/details-pseudo-elements-001.html",1,0,0,"1871066 1901037"
"/html/rendering/the-details-element/details-pseudo-elements-002.html",1,0,0,1901037
"/html/rendering/the-details-element/details-summary-display-inline-002.html",1,0,0,1901037
"/html/rendering/the-details-element/details-pseudo-elements-006.html",1,0,0,1901037
"/html/editing/the-hidden-attribute/hidden-until-found-and-details.html",1,1,1,""
