"Test","Firefox Failures","Chrome Failures","Safari Failures","Bugs"
"/storage-access-api/hasStorageAccess-ABA.sub.https.window.html",3,0,0,""
"/storage-access-api/requestStorageAccess-insecure.sub.window.html",13,6,6,""
"/storage-access-api/requestStorageAccess-sandboxed-iframe-no-storage-access.sub.https.window.html",3,2,2,""
"/storage-access-api/hasStorageAccess-insecure.sub.window.html",15,3,3,""
"/storage-access-api/requestStorageAccess-ABA.sub.https.window.html",4,3,3,""
"/storage-access-api/storageAccess.testdriver.sub.html",1,0,0,""
"/storage-access-api/requestStorageAccess-nested-cross-origin-iframe.sub.https.window.html",4,3,3,""
"/storage-access-api/requestStorageAccess-cross-site-sibling-iframes.sub.https.window.html",3,3,3,""
"/storage-access-api/idlharness.window.html",12,0,0,""
"/storage-access-api/requestStorageAccess-same-site-iframe.sub.https.window.html",4,3,3,""
"/storage-access-api/storage-access-permission.sub.https.window.html",4,4,4,""
"/storage-access-api/requestStorageAccess-nested-same-origin-iframe.sub.https.window.html",4,1,1,""
"/storage-access-api/requestStorageAccess-web-socket.sub.https.window.html",3,3,3,""
"/storage-access-api/requestStorageAccess-cross-origin-iframe-navigation.sub.https.window.html",5,5,5,""
"/storage-access-api/requestStorageAccess-sandboxed-iframe-allow-storage-access.sub.https.window.html",3,2,2,""
"/storage-access-api/requestStorageAccess-dedicated-worker.sub.https.window.html",3,3,3,""
"/storage-access-api/requestStorageAccess-cross-site-iframe.sub.https.window.html",4,3,3,""
"/storage-access-api/requestStorageAccess.sub.https.window.html",4,1,1,""
"/storage-access-api/requestStorageAccess-cross-origin-iframe-navigation-relax.sub.https.window.html",3,3,3,""
"/storage-access-api/hasStorageAccess.sub.https.window.html",15,0,0,""
"/storage-access-api/requestStorageAccess-nested-cross-site-iframe.sub.https.window.html",4,3,3,""
"/storage-access-api/requestStorageAccess-non-fully-active.sub.https.window.html",2,0,0,""
