"Test","Firefox Failures","Chrome Failures","Safari Failures","Bugs"
"/css/css-view-transitions/massive-element-right-of-viewport-offscreen-new.html",1,0,0,""
"/css/css-view-transitions/massive-element-below-viewport-offscreen-new.html",1,0,0,""
"/css/css-view-transitions/massive-element-below-viewport-offscreen-old.html",1,0,0,""
"/css/css-view-transitions/massive-element-on-top-of-viewport-partially-onscreen-old.html",1,0,0,1888110
"/css/css-view-transitions/style-inheritance.html",1,0,0,1871858
"/css/css-view-transitions/massive-element-right-and-left-of-viewport-partially-onscreen-new.html",1,0,0,1888110
"/css/css-view-transitions/massive-element-on-top-of-viewport-offscreen-new.html",1,0,0,1825883
"/css/css-view-transitions/massive-element-right-of-viewport-partially-onscreen-new.html",1,0,0,1888110
"/css/css-view-transitions/content-with-transform-new-image.html",1,0,0,1966905
"/css/css-view-transitions/parsing/view-transition-name-valid.html",1,0,0,1938465
"/css/css-view-transitions/shadow-part-with-class-inside-shadow.html",1,0,0,""
"/css/css-view-transitions/content-with-transform-old-image.html",1,0,0,1966905
"/css/css-view-transitions/paint-holding-in-iframe.html",1,0,0,""
"/css/css-view-transitions/rotated-cat-off-top-edge.html",1,0,0,1892178
"/css/css-view-transitions/inline-child-with-overflow-shadow.html",1,0,0,1924965
"/css/css-view-transitions/massive-element-on-top-of-viewport-partially-onscreen-new.html",1,0,0,1888110
"/css/css-view-transitions/massive-element-left-of-viewport-partially-onscreen-old.html",1,0,0,1888110
"/css/css-view-transitions/fractional-box-with-shadow-new.html",1,0,0,""
"/css/css-view-transitions/massive-element-right-of-viewport-offscreen-old.html",1,0,0,""
"/css/css-view-transitions/named-element-with-fix-pos-child-new.html",1,0,0,1815787
"/css/css-view-transitions/old-content-object-fit-none.html",1,0,0,1819697
"/css/css-view-transitions/input-targets-root-while-render-blocked.html",1,0,0,""
"/css/css-view-transitions/content-visibility-auto-shared-element.html",1,0,0,1819697
"/css/css-view-transitions/scroller-child-abspos.html",1,0,0,""
"/css/css-view-transitions/names-are-tree-scoped.html",1,0,0,""
"/css/css-view-transitions/multiline-span-with-overflowing-text-and-box-decorations.html",1,0,0,1911215
"/css/css-view-transitions/hit-test-unpainted-element.html",1,0,0,""
"/css/css-view-transitions/fractional-translation-from-transform.html",1,0,0,1973210
"/css/css-view-transitions/new-content-inline-with-offset-from-containing-block-clipped.html",1,0,0,""
"/css/css-view-transitions/new-content-captures-positioned-spans.html",1,0,0,1819697
"/css/css-view-transitions/old-content-inline-with-offset-from-containing-block-clipped.html",1,0,0,""
"/css/css-view-transitions/massive-element-left-of-viewport-partially-onscreen-new.html",1,0,0,1911215
"/css/css-view-transitions/new-content-object-fit-none.html",1,0,0,1819697
"/css/css-view-transitions/massive-element-left-of-viewport-offscreen-old.html",1,0,0,""
"/css/css-view-transitions/massive-element-left-of-viewport-offscreen-new.html",1,0,0,""
"/css/css-view-transitions/span-with-overflowing-text-and-box-decorations.html",1,0,0,1911215
"/css/css-view-transitions/massive-element-right-of-viewport-partially-onscreen-old.html",1,0,0,1888110
"/css/css-view-transitions/fractional-box-with-shadow-old.html",1,0,0,""
"/css/css-view-transitions/massive-element-on-top-of-viewport-offscreen-old.html",1,0,0,1825883
"/css/css-view-transitions/massive-element-below-viewport-partially-onscreen-old.html",1,0,0,1888110
"/css/css-view-transitions/old-content-is-inline.html",1,0,0,""
"/css/css-view-transitions/hit-test-unpainted-element-from-point.html",1,0,0,1888110
"/css/css-view-transitions/fractional-box-new.html",1,0,0,""
"/css/css-view-transitions/massive-element-below-and-on-top-of-viewport-partially-onscreen-old.html",1,0,0,1888110
"/css/css-view-transitions/view-transition-name-is-grouping.html",1,0,0,""
"/css/css-view-transitions/new-content-is-inline.html",1,0,0,1976354
"/css/css-view-transitions/far-away-capture.html",1,0,0,1819697
"/css/css-view-transitions/inline-with-offset-from-containing-block.html",1,0,0,1966905
"/css/css-view-transitions/fractional-box-old.html",1,0,0,""
"/css/css-view-transitions/fractional-translation-from-position.html",1,0,0,1817261
"/css/css-view-transitions/massive-element-below-viewport-partially-onscreen-new.html",1,0,0,1888110
"/css/css-view-transitions/snapshot-containing-block-includes-scrollbar-gutter.html",1,0,0,""
"/css/css-view-transitions/offscreen-element-modified-before-coming-onscreen.html",1,0,0,1825674
"/css/css-view-transitions/named-element-with-fix-pos-child-old.html",1,0,0,1815787
"/css/css-view-transitions/old-content-escapes-clip-with-abspos-child.html",1,0,0,1906477
"/css/css-view-transitions/hit-test-unrelated-element.html",1,0,0,""
"/css/css-view-transitions/new-content-escapes-clip-with-abspos-child.html",1,0,0,1906477
"/css/css-view-transitions/massive-element-below-and-on-top-of-viewport-partially-onscreen-new.html",1,0,0,1888110
"/css/css-view-transitions/massive-element-right-and-left-of-viewport-partially-onscreen-old.html",1,0,0,1888110
"/css/css-view-transitions/pseudo-element-overflow-hidden.html",1,0,0,""
"/css/css-view-transitions/capture-with-offscreen-child-translated.html",1,0,0,1958394
"/css/css-view-transitions/3d-transform-incoming.html",1,0,0,1819697
