"Test","Firefox Failures","Chrome Failures","Safari Failures","Bugs"
"/css/css-logical/logical-box-border-color.html",0,0,0,""
"/css/cssom-view/scrollIntoView-sideways-lr-writing-mode-and-rtl-direction.html",6,0,0,1950252
"/css/css-inline/initial-letter/initial-letter-breaking-slr.html",1,0,1,""
"/css/css-inline/initial-letter/initial-letter-float-001-slr.html",1,0,1,""
"/css/css-writing-modes/line-box-direction-srl-055.xht",1,0,1,""
"/css/css-logical/logical-box-inset.html",0,0,0,137688
"/css/cssom-view/scrollIntoView-sideways-rl-writing-mode.html",8,0,0,1950252
"/css/css-logical/logical-box-padding.html",0,0,0,137688
"/css/css-writing-modes/abs-pos-border-offset-002.html",1,0,1,""
"/css/cssom-view/scrollIntoView-sideways-lr-writing-mode.html",8,0,0,1950252
"/css/css-logical/logical-box-border-shorthands.html",0,0,0,""
"/css/css-writing-modes/line-box-direction-slr-056.xht",1,0,1,""
"/css/css-logical/logical-box-margin.html",0,0,0,137688
"/css/css-inline/initial-letter/initial-letter-block-position-margins-srl.html",1,0,1,""
"/css/css-writing-modes/block-flow-direction-srl-057.xht",1,0,1,""
"/css/css-inline/initial-letter/initial-letter-raise-initial-slr.html",1,0,1,""
"/css/css-logical/logical-box-size.html",0,0,0,""
"/css/css-logical/logical-box-border-radius.html",0,0,0,""
"/css/css-multicol/multicol-span-all-rule-002.html",1,0,1,1949064
"/css/cssom-view/scrollIntoView-sideways-rl-writing-mode-and-rtl-direction.html",6,0,0,1950252
"/css/css-inline/initial-letter/initial-letter-breaking-srl.html",1,0,1,""
"/css/css-inline/initial-letter/initial-letter-sunk-initial-srl.html",1,0,1,""
"/css/css-logical/logical-box-border-width.html",0,0,0,""
"/css/css-inline/initial-letter/initial-letter-block-position-margins-slr.html",1,0,1,""
"/css/css-writing-modes/wm-propagation-body-044.html",1,0,1,""
"/css/css-inline/initial-letter/initial-letter-drop-initial-srl.html",1,0,1,""
"/css/css-inline/initial-letter/initial-letter-float-001-srl.html",1,0,1,""
"/css/css-writing-modes/forms/select-multiple-keyboard-selection.optional.html",2,0,2,""
"/css/css-inline/initial-letter/initial-letter-raise-initial-srl.html",1,0,1,""
"/css/css-inline/initial-letter/initial-letter-sunk-initial-slr.html",1,0,1,""
"/css/css-inline/initial-letter/initial-letter-drop-initial-slr.html",1,0,1,""
"/css/css-logical/logical-box-border-style.html",0,0,0,""
