"Test","Firefox Failures","Chrome Failures","Safari Failures","Bugs"
"/css/css-highlight-api/idlharness.window.html",3,0,3,1715034
"/css/css-highlight-api/painting/custom-highlight-font-metrics-004.html",1,0,1,""
"/css/css-highlight-api/painting/css-target-text-decoration-001.html",1,0,1,""
"/css/css-highlight-api/painting/custom-highlight-painting-below-target-text.html",1,0,0,""
"/css/css-highlight-api/painting/custom-highlight-font-metrics-005.html",1,0,1,""
"/css/css-highlight-api/painting/custom-highlight-painting-overlapping-highlights-002.html",1,0,0,1703961
"/css/css-highlight-api/highlight-text-decorations.html",1,0,0,1911716
"/css/css-highlight-api/painting/custom-highlight-dynamic-container-metrics-002.html",1,0,1,""
"/css/css-highlight-api/painting/invalidation/css-highlight-invalidation-001.html",1,0,1,1703961
"/css/css-highlight-api/highlight-image.html",1,1,0,1911716
"/css/css-highlight-api/painting/custom-highlight-container-metrics-003.html",1,0,1,1874300
"/css/css-highlight-api/HighlightRegistry-highlightsFromPoint-ranges.html",1,0,1,""
"/css/css-highlight-api/painting/custom-highlight-font-metrics-001.html",1,0,1,""
"/css/css-highlight-api/painting/custom-highlight-dynamic-container-metrics-004.html",1,0,1,1875588
"/css/css-highlight-api/painting/custom-highlight-dynamic-logical-metrics-001.html",1,0,1,1875588
"/css/css-highlight-api/painting/custom-highlight-container-metrics-005.html",1,0,1,1891056
"/css/css-highlight-api/painting/custom-highlight-container-metrics-004.html",1,0,1,""
"/css/css-highlight-api/painting/custom-highlight-container-metrics-002.html",1,0,1,""
"/css/css-highlight-api/painting/custom-highlight-container-metrics-006.html",1,0,1,""
"/css/css-highlight-api/painting/custom-highlight-logical-metrics-001.html",1,0,1,""
"/css/css-highlight-api/painting/css-highlight-painting-underline-offset-001.html",1,0,1,1836321
"/css/css-highlight-api/painting/custom-highlight-dynamic-font-metrics-001.html",1,0,1,1875588
"/css/css-highlight-api/painting/custom-highlight-container-metrics-001.html",1,0,1,1874300
"/css/css-highlight-api/HighlightRegistry-highlightsFromPoint.html",2,0,2,""
"/css/css-highlight-api/painting/custom-highlight-painting-below-selection.html",1,0,0,1703961
"/css/css-highlight-api/painting/custom-highlight-dynamic-container-metrics-003.html",1,0,1,1875588
"/css/css-highlight-api/painting/custom-highlight-painting-vertical-writing-mode-001.html",1,0,1,""
"/css/css-highlight-api/painting/custom-highlight-font-metrics-003.html",1,0,1,""
"/css/css-highlight-api/painting/custom-highlight-painting-021.html",1,0,1,""
"/css/css-highlight-api/painting/custom-highlight-font-metrics-002.html",1,0,1,1861283
"/css/css-highlight-api/painting/custom-highlight-logical-metrics-002.html",1,0,1,""
