"Test","Firefox Failures","Chrome Failures","Safari Failures","Bugs"
"/custom-elements/registries/scoped-registry-initialize-upgrades.html",12,0,1,""
"/custom-elements/registries/Document-importNode.html",1,0,0,1874414
"/custom-elements/registries/scoped-registry-define-upgrade-order.html",7,0,0,1874414
"/custom-elements/registries/scoped-registry-registry-define-get-etc.html",7,0,0,1874414
"/custom-elements/registries/global.window.html",5,0,0,""
"/custom-elements/registries/ShadowRoot-init-declarative.html",2,0,1,""
"/custom-elements/registries/Document-createElementNS.html",1,0,0,1874414
"/custom-elements/registries/ShadowRoot-innerHTML.html",4,0,0,1874414
"/custom-elements/registries/Construct.html",3,0,0,1874414
"/custom-elements/registries/CustomElementRegistry-multi-register.html",2,0,0,1874414
"/custom-elements/registries/scoped-custom-element-registry-customelementregistry-attribute-in-xhtml.xhtml",4,4,0,""
"/custom-elements/registries/CustomElementRegistry-initialize.html",13,0,1,1874414
"/custom-elements/registries/Element-customElementRegistry-exceptions.html",2,0,0,1874414
"/custom-elements/registries/scoped-registry-define-upgrade-criteria.html",11,0,0,1874414
"/custom-elements/registries/constructor-reentry-with-different-definition.html",4,0,0,1874414
"/custom-elements/registries/ShadowRoot-init-customElementRegistry.html",10,0,0,1874414
"/custom-elements/registries/CustomElementRegistry-define.html",3,0,0,1874414
"/custom-elements/registries/template.window.html",9,0,0,1874414
"/custom-elements/registries/Element-innerHTML.html",6,0,2,1874414
"/custom-elements/registries/scoped-registry-append-does-not-upgrade.html",8,0,0,""
"/custom-elements/registries/Document-importNode-cross-document.window.html",12,0,0,""
"/custom-elements/registries/Element-customElementRegistry.html",10,0,0,1874414
"/custom-elements/registries/scoped-custom-element-registry-customelementregistry-attribute.html",11,6,1,""
"/custom-elements/registries/Document-customElementRegistry.html",4,0,0,1874414
"/custom-elements/registries/pseudo-class-defined.window.html",3,0,0,1874414
"/custom-elements/registries/element-mutation.html",10,0,6,""
"/custom-elements/registries/Document-createElement.html",1,0,0,1874414
"/custom-elements/registries/scoped-registry-initialize.html",1,0,0,1874414
"/custom-elements/registries/adoption.window.html",36,0,4,""
"/custom-elements/registries/CustomElementRegistry-upgrade.html",4,0,0,1874414
