"Test","Firefox Failures","Chrome Failures","Safari Failures","Bugs"
"/webrtc/protocol/unknown-mediatypes.html",1,0,0,1806185
"/webrtc/RTCRtpParameters-headerExtensions.html",1,0,0,1765851
"/webrtc/protocol/handover.html",2,0,0,""
"/webrtc/RTCPeerConnection-setLocalDescription-pranswer.html",4,0,0,1004510
"/webrtc/RTCDataChannel-close.html",4,0,0,"1611953 1641026"
"/webrtc/RTCRtpSender-getParameters.html",1,0,0,""
"/webrtc/protocol/rtp-headerextensions.html",4,0,0,""
"/webrtc/protocol/crypto-suite.https.html",6,0,0,1278299
"/webrtc/RTCPeerConnectionIceErrorEvent.html",1,0,0,1728335
"/webrtc/protocol/codecs-subsequent-offer.https.html",1,0,0,""
"/webrtc/protocol/ice-ufragpwd.html",2,0,0,1617686
"/webrtc/RTCSctpTransport-events.html",3,0,0,1278299
"/webrtc/RTCPeerConnection-mandatory-getStats.https.html",11,0,0,"1225724 1508543 1531087 1728357 1728364 1761334 1804676 1804678 1813824"
"/webrtc/simulcast/h264.https.html",1,0,0,1531460
"/webrtc/RTCRtpParameters-rtcp.html",2,0,0,1765852
"/webrtc/RTCConfiguration-iceCandidatePoolSize.html",9,0,0,1529398
"/webrtc/RTCPeerConnection-setLocalDescription-answer.html",2,0,0,""
"/webrtc/protocol/rtp-extension-support.html",1,0,0,1340372
"/webrtc/RTCConfiguration-rtcpMuxPolicy.html",14,0,0,1339203
"/webrtc/RTCDtlsTransport-getRemoteCertificates.html",1,0,0,1805446
"/webrtc/protocol/additional-codecs.html",1,0,0,""
"/webrtc/RTCPeerConnection-transport-stats.https.html",2,0,0,""
"/webrtc/protocol/video-codecs.https.html",2,0,0,"1534687 1534688"
"/webrtc/simulcast/rid-manipulation.html",1,0,0,""
"/webrtc/RTCPeerConnection-setRemoteDescription-pranswer.html",4,0,0,1004510
"/webrtc/RTCPeerConnection-iceConnectionState.https.html",3,0,0,1278299
"/webrtc/protocol/handover-datachannel.html",1,0,0,""
"/webrtc/protocol/dtls-setup.https.html",4,0,0,1225723
"/webrtc/protocol/rtp-demuxing.html",1,0,0,1531460
